episode,timestep,reward
2079,202600,-39.05
2081,202800,-26.7
2083,203000,-22.15
2085,203200,-38.4
2087,203400,-35.15
2089,203600,-29.3
2091,203800,-18.95
2093,204000,-24.75
2095,204200,-33.85
2097,204400,-26.7
2099,204600,-26.7
2101,204800,-31.9
2103,205000,-31.9
2105,205200,-32.55
2107,205400,-30.6
2109,205600,-23.45
2111,205800,-24.75
2113,206000,-31.9
2115,206200,-26.2
2117,206400,-29.3
2119,206600,-30.55
2122,206800,-18.9333
2124,207000,-26.7
2126,207200,-20.05
2128,207400,-30.6
2130,207600,-22.15
2132,207800,-25.4
2134,208000,-31.9
2136,208200,-15.75
2138,208400,-19.6
2140,208600,-29.3
2142,208800,-28.65
2145,209000,-25.7
2147,209200,-30.6
2149,209400,-27.35
2151,209600,-22.8
2153,209800,-24.75
2155,210000,-27.35
2157,210200,-26.7
2159,210400,-26.7
2161,210600,-22.8
2163,210800,-22.8
2165,211000,-18.9
2167,211200,-31.9
2169,211400,-32.55
2171,211600,-32.55
2173,211800,-24.75
2175,212000,-34.5
2177,212200,-20.85
2179,212400,-31.9
2181,212600,-26.7
2183,212800,-31.25
2185,213000,-25.4
2187,213200,-22.15
2189,213400,-29.95
2191,213600,-21.5
2193,213800,-29.3
2195,214000,-30.6
2197,214200,-35.8
2199,214400,-26.05
2201,214600,-28.65
2203,214800,-21.5
2205,215000,-38.4
2207,215200,-23.1
2209,215400,-24.1
2211,215600,-22.8
2213,215800,-36.45
2215,216000,-26.7
2217,216200,-18.9
2220,216400,-16.6333
2222,216600,-28.65
2224,216800,-28.65
2226,217000,-29.95
2228,217200,-22.15
2230,217400,-32.55
2232,217600,-29.3
2234,217800,-18.25
2236,218000,-31.25
2238,218200,-29.9
2240,218400,-22.15
2242,218600,-22.15
2244,218800,-18.1
2246,219000,-18.9
2248,219200,-23.45
2251,219400,-20.1667
2253,219600,-26.05
2255,219800,-21.4
2257,220000,-15.9
2259,220200,-24.75
2261,220400,-30.6
2263,220600,-33.2
2265,220800,-29.95
2268,221000,-19.6333
2270,221200,-22.8
2272,221400,-18.9
2274,221600,-19.05
2276,221800,-29.3
2278,222000,-17.2
2280,222200,-18.9
2282,222400,-22.8
2284,222600,-35.15
2286,222800,-35.8
2288,223000,-28.65
2290,223200,-25.4
2292,223400,-26.7
2294,223600,-23.45
2296,223800,-25.4
2298,224000,-31.25
2300,224200,-32.55
2302,224400,-18.85
2304,224600,-33.2
2306,224800,-27.35
2308,225000,-21.7
2310,225200,-28.0
2312,225400,-32.55
2314,225600,-30.6
2316,225800,-27.35
2318,226000,-26.05
2320,226200,-29.95
2322,226400,-33.85
2324,226600,-33.85
2326,226800,-26.05
2328,227000,-31.9
2331,227200,-19.4667
2333,227400,-31.25
2335,227600,-26.05
2337,227800,-12.85
2339,228000,-28.65
2342,228200,-22.7333
2344,228400,-20.2
2346,228600,-27.35
2348,228800,-24.75
2350,229000,-33.2
2352,229200,-28.0
2354,229400,-31.9
2356,229600,-22.55
2358,229800,-32.55
2360,230000,-26.05
2362,230200,-22.8
2364,230400,-29.95
2367,230600,-29.3333
2369,230800,-21.7
2371,231000,-18.1
2373,231200,-30.6
2375,231400,-21.5
2377,231600,-37.1
2379,231800,-35.8
2381,232000,-25.4
2383,232200,-31.25
2385,232400,-23.45
2387,232600,-33.85
2389,232800,-24.1
2391,233000,-29.95
2394,233200,-25.8
2396,233400,-41.65
2398,233600,-39.05
2400,233800,-22.55
2402,234000,-18.25
2404,234200,-31.25
2406,234400,-32.55
2408,234600,-28.0
2410,234800,-17.35
2412,235000,-20.2
2414,235200,-28.0
2416,235400,-24.1
2418,235600,-22.8
2420,235800,-19.55
2422,236000,-28.0
2424,236200,-27.35
2426,236400,-29.3
2429,236600,-19.6667
2431,236800,-27.35
2433,237000,-39.7
2435,237200,-34.5
2438,237400,-13.6333
2440,237600,-35.8
2442,237800,-22.15
2444,238000,-31.9
2446,238200,-21.5
2448,238400,-33.85
2450,238600,-27.35
2452,238800,-33.2
